player_name,position,nationality,club,league
Wout Weghorst,Attack,Netherlands,Fc Burnley,premier-league
Matej Vydra,Attack,Czech Republic,Fc Burnley,premier-league
Aaron Lennon,Attack,England,Fc Burnley,premier-league
Johann Berg Gudmundsson,Attack,Iceland,Fc Burnley,premier-league
Ashley Barnes,Attack,England,Fc Burnley,premier-league
Dwight Mcneil,Attack,England,Fc Burnley,premier-league
Jay Rodriguez,Attack,England,Fc Burnley,premier-league
Dale Stephens,Midfield,England,Fc Burnley,premier-league
Josh Brownhill,Midfield,England,Fc Burnley,premier-league
Maxwel Cornet,Attack,Cote d'Ivoire,Fc Burnley,premier-league
Matthew Lowton,Defender,England,Fc Burnley,premier-league
Phil Bardsley,Defender,Scotland,Fc Burnley,premier-league
Jack Cork,Midfield,England,Fc Burnley,premier-league
Ashley Westwood,Midfield,England,Fc Burnley,premier-league
Charlie Taylor,Defender,England,Fc Burnley,premier-league
Ben Mee,Defender,England,Fc Burnley,premier-league
Kevin Long,Defender,Ireland,Fc Burnley,premier-league
Nathan Collins,Defender,Ireland,Fc Burnley,premier-league
Connor Roberts,Defender,Wales,Fc Burnley,premier-league
Lukas Jensen,Goalkeeper,Denmark,Fc Burnley,premier-league
Erik Pieters,Defender,Netherlands,Fc Burnley,premier-league
Will Norris,Goalkeeper,England,Fc Burnley,premier-league
Wayne Hennessey,Goalkeeper,Wales,Fc Burnley,premier-league
Nick Pope,Goalkeeper,England,Fc Burnley,premier-league
James Tarkowski,Defender,England,Fc Burnley,premier-league
Bailey Peacock Farrell,Goalkeeper,Northern Ireland,Fc Burnley,premier-league
Sebastian Soto,Attack,United States,Norwich City,premier-league
Jordan Hugill,Attack,England,Norwich City,premier-league
Teemu Pukki,Attack,Finland,Norwich City,premier-league
Milot Rashica,Attack,Kosovo,Norwich City,premier-league
Josh Martin,Attack,England,Norwich City,premier-league
Adam Idah,Attack,Ireland,Norwich City,premier-league
Przemyslaw Placheta,Attack,Poland,Norwich City,premier-league
